Name,Size,Price,Country
Kabras Kabras Premium White Sugar,2kg,KSh 306,Kenya
Kabras Kabras Premium White Sugar,1kg,KSh 153,Kenya
Nutrameal Nutrameal Packed Sugar – 2Kg,2kg,KSh 310,Kenya
Nutrameal Nutrameal Packed Sugar – 1Kg,1kg,KSh 156,Kenya
Kakira Light Brown Sugar,2kg,KSh 356,Kenya
Nutrameal Natural Cane Sugar,2kg,KSh 324,Kenya
Nutrameal Natural Wholesome Sugar,1kg,KSh 162,Kenya
Dangote Sugar 1Kg X1,1kg,₦ 950,Nigeria
Lugazi Lugazi Sugar,1kg,"UGX 5,000",Uganda
Lugazi Lugazi Sugar,5kg,"UGX 24,900",Uganda
Lugazi Sugar 2kg,2kg,"UGX 10,600",Uganda
Kakira Very Sweet Sugar-White-Brown 10kgs,10kg,"UGX 85,000",Uganda
Kakira Sugar 10kg,10kg,"UGX 67,000",Uganda
Kakira Sugar,1kg,"UGX 20,000",Uganda
Kakira Sugar,5kg,"UGX 190,000",Uganda
Kakira Sugar,5kg,"UGX 65,000",Uganda
Kakira Sugar,50kg,"UGX 320,000",Uganda
Kakira Sugar,5kg,"UGX 190,000",Uganda
Kakira Sugar,10kg,"UGX 100,000",Uganda
