Name,Price
Kabras Kabras Premium White Sugar - 2kg,KSh 308
Kabras Kabras Premium White Sugar - 1kg,KSh 154
Nutrameal Nutrameal Packed Sugar - 1Kg,KSh 156
Nutrameal Nutrameal Packed Sugar - 2Kg,KSh 310
Kakira Light Brown Sugar - 2kg,KSh 356
Nutrameal Natural Cane Sugar - 2kg,KSh 324
Nutrameal Natural Wholesome Sugar - 1Kg,KSh 162
Clovers Caster Sugar-500g,KSh 128
Naturalli Organic Coconut Sugar,KSh 297
Canderel Sweetener Tabs - 100,KSh 437
Canderel Sweetener Stevia Tabs - 100,KSh 455
Canderel Sweetener Stevia - 40g,KSh 550
Brown Sugar Sachets 1000pieces *6gm,"KSh 4,200"
Canderel Sweetener Stevia - 150g,KSh 768
Nature'S Choice Coco Sugar - 200g,"KSh 1,180"
